Sample 4, Group score: 0, Time: 21.79 seconds
Sample 393, Group score: 0, Time: 33.505 seconds
Sample 268, Group score: 0, Time: 36.692 seconds
Sample 394, Group score: 0, Time: 35.195 seconds
Sample 396, Group score: 0, Time: 26.645 seconds
Sample 397, Group score: 0, Time: 30.409 seconds
Sample 398, Group score: 0, Time: 28.928 seconds
Sample 273, Group score: 0, Time: 37.138 seconds
Sample 276, Group score: 1, Time: 27.919 seconds
Sample 277, Group score: 0, Time: 30.801 seconds
Sample 280, Group score: 0, Time: 29.554 seconds
Sample 281, Group score: 0, Time: 40.146 seconds
Sample 282, Group score: 0, Time: 18.02 seconds
Sample 332, Group score: 0, Time: 22.769 seconds
Sample 333, Group score: 1, Time: 31.373 seconds
Sample 337, Group score: 0, Time: 17.828 seconds
Sample 339, Group score: 1, Time: 24.999 seconds
Sample 340, Group score: 0, Time: 27.99 seconds
Sample 341, Group score: 0, Time: 28.412 seconds
Sample 345, Group score: 0, Time: 26.058 seconds
Sample 346, Group score: 1, Time: 20.963 seconds
Sample 348, Group score: 0, Time: 20.619 seconds
Sample 351, Group score: 0, Time: 34.816 seconds
Sample 375, Group score: 0, Time: 25.42 seconds
Sample 355, Group score: 1, Time: 24.649 seconds
Sample 229, Group score: 0, Time: 26.003 seconds
Sample 231, Group score: 1, Time: 19.293 seconds
Sample 232, Group score: 0, Time: 20.347 seconds
Sample 361, Group score: 0, Time: 20.613 seconds
Sample 235, Group score: 0, Time: 24.633 seconds
Sample 236, Group score: 0, Time: 16.769 seconds
Sample 237, Group score: 0, Time: 19.036 seconds
Sample 238, Group score: 0, Time: 15.432 seconds
Sample 239, Group score: 0, Time: 13.957 seconds
Sample 364, Group score: 1, Time: 30.909 seconds
Sample 365, Group score: 1, Time: 25.747 seconds
Sample 242, Group score: 0, Time: 40.871 seconds
Sample 243, Group score: 0, Time: 32.073 seconds
Sample 366, Group score: 0, Time: 23.983 seconds
Sample 245, Group score: 1, Time: 26.297 seconds
Sample 246, Group score: 1, Time: 24.91 seconds
Sample 370, Group score: 1, Time: 17.195 seconds
Sample 248, Group score: 0, Time: 24.066 seconds
Sample 377, Group score: 0, Time: 30.385 seconds
Sample 379, Group score: 0, Time: 30.782 seconds
Sample 251, Group score: 0, Time: 25.801 seconds
Sample 252, Group score: 1, Time: 28.612 seconds
Sample 253, Group score: 0, Time: 30.262 seconds
Sample 255, Group score: 0, Time: 22.788 seconds
Sample 0, Group score: 0, Time: 23.24 seconds
Sample 1, Group score: 0, Time: 25.421 seconds
Sample 2, Group score: 1, Time: 21.466 seconds
Sample 3, Group score: 0, Time: 22.031 seconds
Sample 6, Group score: 1, Time: 31.134 seconds
Sample 7, Group score: 0, Time: 38.749 seconds
Sample 10, Group score: 0, Time: 21.305 seconds
Sample 12, Group score: 0, Time: 33.553 seconds
Sample 14, Group score: 1, Time: 25.596 seconds
Sample 18, Group score: 0, Time: 20.412 seconds
Sample 20, Group score: 0, Time: 32.831 seconds
Sample 21, Group score: 1, Time: 25.633 seconds
Sample 26, Group score: 0, Time: 24.802 seconds
Sample 30, Group score: 0, Time: 18.049 seconds
Sample 32, Group score: 1, Time: 30.885 seconds
Sample 37, Group score: 1, Time: 32.204 seconds
Sample 38, Group score: 0, Time: 23.651 seconds
Sample 39, Group score: 0, Time: 35.942 seconds
Sample 40, Group score: 0, Time: 30.05 seconds
Sample 41, Group score: 1, Time: 46.989 seconds
Sample 44, Group score: 0, Time: 23.619 seconds
Sample 45, Group score: 1, Time: 25.164 seconds
Sample 47, Group score: 0, Time: 19.992 seconds
Sample 51, Group score: 1, Time: 32.973 seconds
Sample 53, Group score: 0, Time: 24.574 seconds
Sample 54, Group score: 1, Time: 20.013 seconds
Sample 56, Group score: 1, Time: 19.124 seconds
Sample 60, Group score: 0, Time: 43.218 seconds
Sample 61, Group score: 1, Time: 17.597 seconds
Sample 64, Group score: 0, Time: 24.644 seconds
Sample 66, Group score: 0, Time: 17.688 seconds
Sample 68, Group score: 0, Time: 35.928 seconds
Sample 70, Group score: 0, Time: 34.986 seconds
Sample 71, Group score: 0, Time: 22.019 seconds
Sample 79, Group score: 0, Time: 33.259 seconds
Sample 82, Group score: 1, Time: 28.901 seconds
Sample 88, Group score: 0, Time: 35.072 seconds
Sample 89, Group score: 0, Time: 30.086 seconds
Sample 92, Group score: 1, Time: 28.913 seconds
Sample 93, Group score: 0, Time: 33.667 seconds
Sample 117, Group score: 0, Time: 18.688 seconds
Sample 118, Group score: 1, Time: 21.083 seconds
Sample 120, Group score: 0, Time: 29.669 seconds
Sample 121, Group score: 1, Time: 22.941 seconds
Sample 124, Group score: 0, Time: 20.462 seconds
Sample 125, Group score: 1, Time: 31.518 seconds
Sample 126, Group score: 0, Time: 28.309 seconds
Sample 127, Group score: 0, Time: 30.164 seconds
Sample 133, Group score: 0, Time: 30.173 seconds
Sample 134, Group score: 0, Time: 41.128 seconds
Sample 140, Group score: 0, Time: 20.971 seconds
Sample 144, Group score: 0, Time: 31.086 seconds
Sample 176, Group score: 0, Time: 25.34 seconds
Sample 177, Group score: 0, Time: 19.396 seconds
Sample 179, Group score: 1, Time: 19.221 seconds
Sample 182, Group score: 0, Time: 17.827 seconds
Sample 184, Group score: 0, Time: 24.837 seconds
Sample 185, Group score: 0, Time: 29.246 seconds
Sample 186, Group score: 0, Time: 30.935 seconds
Sample 188, Group score: 0, Time: 32.967 seconds
Sample 189, Group score: 0, Time: 30.589 seconds
Sample 190, Group score: 0, Time: 26.705 seconds
Sample 195, Group score: 1, Time: 40.721 seconds
Sample 198, Group score: 0, Time: 23.155 seconds
Sample 200, Group score: 0, Time: 40.155 seconds
Sample 201, Group score: 0, Time: 23.453 seconds
Sample 202, Group score: 1, Time: 38.731 seconds
Sample 203, Group score: 0, Time: 28.803 seconds
Sample 204, Group score: 1, Time: 26.683 seconds
Sample 205, Group score: 1, Time: 29.906 seconds
Sample 209, Group score: 0, Time: 31.967 seconds
Sample 211, Group score: 0, Time: 41.738 seconds
Sample 215, Group score: 0, Time: 20.539 seconds
Sample 222, Group score: 0, Time: 25.637 seconds
Sample 223, Group score: 0, Time: 26.034 seconds
Sample 224, Group score: 1, Time: 26.347 seconds
Sample 225, Group score: 0, Time: 15.595 seconds
Sample 227, Group score: 0, Time: 15.851 seconds
Sample 228, Group score: 0, Time: 29.466 seconds
Sample 230, Group score: 0, Time: 38.249 seconds
Sample 233, Group score: 0, Time: 31.41 seconds
Sample 234, Group score: 1, Time: 16.222 seconds
Sample 240, Group score: 0, Time: 31.717 seconds
Sample 241, Group score: 0, Time: 43.071 seconds
Sample 244, Group score: 0, Time: 22.596 seconds
Sample 247, Group score: 0, Time: 29.074 seconds
Sample 249, Group score: 1, Time: 36.703 seconds
Sample 250, Group score: 1, Time: 37.662 seconds
Sample 254, Group score: 0, Time: 20.29 seconds
Sample 257, Group score: 0, Time: 42.179 seconds
Sample 258, Group score: 1, Time: 28.131 seconds
Sample 260, Group score: 0, Time: 26.331 seconds
Sample 261, Group score: 0, Time: 25.377 seconds
Sample 262, Group score: 0, Time: 46.555 seconds
Sample 269, Group score: 0, Time: 15.335 seconds
Sample 270, Group score: 0, Time: 18.466 seconds
Sample 271, Group score: 0, Time: 21.774 seconds
Sample 272, Group score: 0, Time: 24.773 seconds
Sample 274, Group score: 0, Time: 33.077 seconds
Sample 275, Group score: 0, Time: 17.809 seconds
Sample 278, Group score: 1, Time: 40.843 seconds
Sample 279, Group score: 0, Time: 25.132 seconds
Sample 283, Group score: 0, Time: 35.8 seconds
Sample 284, Group score: 0, Time: 29.26 seconds
Sample 285, Group score: 0, Time: 35.312 seconds
Sample 287, Group score: 1, Time: 28.119 seconds
Sample 288, Group score: 0, Time: 33.552 seconds
Sample 289, Group score: 0, Time: 27.752 seconds
Sample 291, Group score: 0, Time: 37.257 seconds
Sample 295, Group score: 0, Time: 30.622 seconds
Sample 296, Group score: 0, Time: 25.412 seconds
Sample 298, Group score: 0, Time: 25.79 seconds
Sample 299, Group score: 0, Time: 40.877 seconds
Sample 301, Group score: 1, Time: 34.576 seconds
Sample 302, Group score: 1, Time: 18.81 seconds
Sample 312, Group score: 0, Time: 22.186 seconds
Sample 314, Group score: 1, Time: 16.319 seconds
Sample 315, Group score: 0, Time: 18.052 seconds
Sample 317, Group score: 0, Time: 35.944 seconds
Sample 321, Group score: 0, Time: 29.227 seconds
Sample 322, Group score: 0, Time: 20.575 seconds
Sample 323, Group score: 0, Time: 29.406 seconds
Sample 324, Group score: 0, Time: 26.394 seconds
Sample 325, Group score: 0, Time: 35.582 seconds
Sample 327, Group score: 1, Time: 23.028 seconds
Sample 329, Group score: 0, Time: 32.892 seconds
Sample 334, Group score: 1, Time: 41.554 seconds
Sample 335, Group score: 1, Time: 27.647 seconds
Sample 336, Group score: 0, Time: 29.02 seconds
Sample 338, Group score: 0, Time: 29.232 seconds
Sample 342, Group score: 1, Time: 29.383 seconds
Sample 343, Group score: 0, Time: 37.132 seconds
Sample 344, Group score: 0, Time: 27.855 seconds
Sample 347, Group score: 0, Time: 26.948 seconds
Sample 349, Group score: 1, Time: 31.946 seconds
Sample 357, Group score: 0, Time: 21.534 seconds
Sample 0, Group score: 0, Time: 19.77 seconds
Sample 384, Group score: 1, Time: 15.892 seconds
Sample 263, Group score: 0, Time: 19.376 seconds
Sample 264, Group score: 0, Time: 46.794 seconds
Sample 392, Group score: 1, Time: 24.89 seconds
Sample 266, Group score: 0, Time: 23.737 seconds
Sample 267, Group score: 0, Time: 24.403 seconds
Sample 395, Group score: 1, Time: 29.77 seconds
Sample 399, Group score: 0, Time: 42.098 seconds
Sample 145, Group score: 0, Time: 21.149 seconds
Sample 146, Group score: 0, Time: 32.112 seconds
Sample 148, Group score: 0, Time: 19.696 seconds
Sample 149, Group score: 0, Time: 23.982 seconds
Sample 154, Group score: 1, Time: 22.951 seconds
Sample 156, Group score: 0, Time: 26.687 seconds
Sample 159, Group score: 0, Time: 23.072 seconds
Sample 160, Group score: 1, Time: 17.824 seconds
Sample 161, Group score: 0, Time: 30.403 seconds
Sample 164, Group score: 0, Time: 18.246 seconds
Sample 168, Group score: 0, Time: 22.041 seconds
Sample 170, Group score: 1, Time: 15.675 seconds
Sample 171, Group score: 0, Time: 26.299 seconds
Sample 303, Group score: 0, Time: 16.691 seconds
Sample 305, Group score: 0, Time: 19.055 seconds
Sample 307, Group score: 0, Time: 17.868 seconds
Sample 218, Group score: 0, Time: 20.307 seconds
Sample 219, Group score: 0, Time: 17.078 seconds
Sample 220, Group score: 0, Time: 22.649 seconds
Sample 221, Group score: 1, Time: 21.425 seconds
Sample 94, Group score: 1, Time: 34.536 seconds
Sample 350, Group score: 0, Time: 17.269 seconds
Sample 352, Group score: 1, Time: 43.302 seconds
Sample 97, Group score: 1, Time: 31.237 seconds
Sample 353, Group score: 0, Time: 27.173 seconds
Sample 99, Group score: 1, Time: 25.715 seconds
Sample 100, Group score: 0, Time: 33.948 seconds
Sample 101, Group score: 1, Time: 46.796 seconds
Sample 354, Group score: 1, Time: 17.463 seconds
Sample 356, Group score: 0, Time: 30.42 seconds
Sample 358, Group score: 0, Time: 24.756 seconds
Sample 359, Group score: 1, Time: 34.806 seconds
Sample 106, Group score: 1, Time: 28.862 seconds
Sample 107, Group score: 1, Time: 35.827 seconds
Sample 108, Group score: 1, Time: 27.634 seconds
Sample 360, Group score: 0, Time: 34.253 seconds
Sample 362, Group score: 0, Time: 31.376 seconds
Sample 111, Group score: 0, Time: 28.459 seconds
Sample 369, Group score: 0, Time: 22.259 seconds
Sample 371, Group score: 0, Time: 19.173 seconds
Sample 372, Group score: 0, Time: 35.803 seconds
Sample 373, Group score: 1, Time: 26.814 seconds
Sample 374, Group score: 1, Time: 23.116 seconds
Sample 376, Group score: 1, Time: 21.972 seconds
Sample 378, Group score: 0, Time: 29.611 seconds
Sample 380, Group score: 0, Time: 22.154 seconds
Sample 381, Group score: 0, Time: 31.748 seconds
Sample 382, Group score: 1, Time: 31.836 seconds
Sample 363, Group score: 0, Time: 26.326 seconds
Sample 367, Group score: 0, Time: 22.965 seconds
Sample 368, Group score: 0, Time: 30.413 seconds
Sample 52, Group score: 0, Time: 23.365 seconds
Sample 308, Group score: 0, Time: 20.658 seconds
