Sample 15, Group score: 0, Time: 15.367 seconds
Sample 340, Group score: 0, Time: 44.77 seconds
Sample 341, Group score: 0, Time: 30.791 seconds
Sample 345, Group score: 0, Time: 29.207 seconds
Sample 346, Group score: 1, Time: 30.633 seconds
Sample 348, Group score: 0, Time: 29.366 seconds
Sample 355, Group score: 0, Time: 35.942 seconds
Sample 364, Group score: 0, Time: 24.054 seconds
Sample 365, Group score: 0, Time: 24.061 seconds
Sample 366, Group score: 0, Time: 35.94 seconds
Sample 370, Group score: 1, Time: 23.551 seconds
Sample 377, Group score: 0, Time: 43.254 seconds
Sample 385, Group score: 0, Time: 60.003 seconds
Sample 386, Group score: 0, Time: 21.507 seconds
Sample 388, Group score: 0, Time: 38.489 seconds
Sample 390, Group score: 0, Time: 29.325 seconds
Sample 391, Group score: 1, Time: 30.674 seconds
Sample 394, Group score: 0, Time: 26.36 seconds
Sample 396, Group score: 0, Time: 33.642 seconds
Sample 397, Group score: 0, Time: 24.412 seconds
Sample 398, Group score: 0, Time: 35.59 seconds
Sample 256, Group score: 0, Time: 35.17 seconds
Sample 155, Group score: 0, Time: 29.326 seconds
Sample 163, Group score: 0, Time: 60.002 seconds
Sample 293, Group score: 0, Time: 18.969 seconds
Sample 318, Group score: 0, Time: 41.029 seconds
Sample 319, Group score: 0, Time: 24.7 seconds
Sample 320, Group score: 0, Time: 35.298 seconds
Sample 191, Group score: 0, Time: 22.703 seconds
Sample 196, Group score: 0, Time: 37.298 seconds
Sample 326, Group score: 0, Time: 24.3 seconds
Sample 328, Group score: 0, Time: 35.654 seconds
Sample 339, Group score: 0, Time: 11.984 seconds
Sample 217, Group score: 0, Time: 48.014 seconds
Sample 231, Group score: 0, Time: 22.7 seconds
Sample 237, Group score: 0, Time: 37.287 seconds
Sample 238, Group score: 0, Time: 14.458 seconds
Sample 239, Group score: 0, Time: 45.543 seconds
Sample 242, Group score: 0, Time: 23.826 seconds
Sample 122, Group score: 0, Time: 21.22 seconds
Sample 116, Group score: 0, Time: 23.421 seconds
Sample 246, Group score: 0, Time: 60.002 seconds
Sample 243, Group score: 0, Time: 17.557 seconds
